,userid,openness,agreeableness,emotional_stability,conscientiousness,extraversion,is_personalized,enjoy_watching,avg_rating
1,06bd71884b7d8fb0e814aa016b6a6d9f,7,4.5,4.5,3,2,3,5,3.08151184
2,082a5e7953edbfd7f6366e42626e373d,4,2,2.5,5.5,2,2,3,3.236413043
3,08419a2991116300be4f440f45f1c71e,6.5,4,3.5,5.5,4,1,4,3.897435897
4,0867d54431f3ab8832122430352b1c5d,5,3.5,3,4.5,2,4,5,3.631849315
5,10dae2db89bc660a12ae0a03ec03a28d,6,4.5,2,4.5,3.5,3,4,2.727477477
6,11be3af40931ff45392d64a291ddb9ef,5.5,3.5,4,5.5,4,4,4,3.683301344
7,13e6dc83483b272928d613cb69ed9e2a,5,3.5,5.5,6,4.5,4,4,3.53188929
8,1526f4a779cc3723c955cddc3a353187,6.5,5,6,7,4.5,5,5,4.7
9,16e241b3eee2adc729952f994622e20d,6.5,7,4.5,7,6,1,1,2.125
10,1b5a79f3019c8d5b78ba1d1b3d4bbfdb,5,4.5,3.5,3.5,6,2,4,4.236842105
11,1ba29b155ce5d3f43ad03dfa9991c0ae,5,4.5,4,4.5,1.5,3,3,3.629589633
12,1c6eae10ba5516e8b4bcb99745d56a7e,5,4,2.5,5,4,4,3,3.616564417
13,1dbec7c04384354f259453a3418c85d0,6.5,4,5.5,5.5,4.5,4,4,3.944099379
14,1e47fac301d73fc8ac2df2c4a7fc2498,6,7,7,3,5,4,5,4.105769231
15,1ec06d17883c90add15d0ef1b1d00477,6.5,6.5,6,5,4,4,4,4.075931232
16,1ed84e41d1199bd80978e5472689de49,4.5,4,2,4,3.5,3,3,3.228826152
17,24c89d1f4d190fbefcd2a8ed20b2c756,5,4,4.5,4,4,3,4,3.568571429
18,258490600493aaf3463350984a0190a7,4.5,2,6,6.5,4,4,3,2.751034483
19,25b91ccb04acf0cc51334741955ca887,5.5,5,3,4.5,3,3,4,3.497246929
20,26386a14d5a7483dac665cd479ce447d,5,2.5,7,3.5,3,4,4,3.32046332
21,28d1ec8a18efaf00e06bd3bb74129739,5.5,7,1,5.5,1,3,3,3.951086957
22,29baa4d250c9ac728e3684d2270d1243,6,3,1.5,4.5,2.5,4,4,3.404761905
23,2acc8bf04b05e00038fbd7ba0c1b4dd5,5,4.5,1.5,4.5,1.5,3,4,4.326388889
24,2c88d52366195507be47f7fcf4dca4d1,7,3.5,2.5,4.5,6,3,4,4.206578947
25,2cc630a999d08c08c075ac38708b9db1,6.5,4,7,2.5,7,4,4,3.777286136
26,2d308fa640bc031d7c439d20619b6108,6,3,6,4,4,1,2,3.8
27,2d5091f46b227e53ec876e460c7fd31f,7,6,6,4.5,3,4,4,3.46969697
28,2e3fd5ac66876b88871475e223e2a886,6,6.5,6,6,6,2,4,3.256611166
29,2ed1bc3d51040fee979678a879d0b646,6.5,2.5,5.5,2,2.5,4,4,3.901913876
30,2f0f2a1e990f72fea9a73df8e227ff07,6,3,4,2.5,4,2,3,3.284768212
31,2f7b73a8590616814caadf1f5faf21c2,6.5,5.5,6,6,5,2,3,3.439429929
32,313f675a248a4636be27b85fdad8352b,5,5.5,3.5,5,3.5,2,3,3.808510638
33,327856e80e5b3d161fe06de77dae0a75,5,4.5,4.5,3,2,4,4,3.705479452
34,330def8b213289e93fcfb678fbb545e2,6.5,4,2.5,1.5,3.5,2,4,3.436596218
35,34aae840d9ec0a93d9b636d597dcefef,6.5,5,5,4,3.5,4,4,3.665242165
36,353d73a2d9c5ba0b21e4186d567502b3,5.5,5,4.5,3,2,3,4,3.702892885
37,353ff77978efc9ba25632dc21d837bdb,6.5,4,6,4.5,4,4,5,3.241741742
38,360f1428fc5629aeb23891226d908e91,5,4.5,4.5,3,5.5,2,2,3.044776119
39,381bf101484423aeae3cdec929ea7bc9,7,4,4,1,7,2,4,2.988505747
40,3c5bc344c6e3c761e910309de5a30efb,5,4,3.5,6,5,4,4,3.476
41,3cb885f5bbba64cea284e9332bea1d41,6,1,3,7,3,4,4,2.940871817
42,3e3f17d2869814e8eccfaf15444f871d,6.5,3.5,6,4,4,4,4,3.388888889
43,3fc000babc4adbeda643081c337d64f8,6.5,4.5,3.5,2.5,3,3,3,3.676375405
44,406e524e5672daf6c95bd4a77b99aab1,5.5,5.5,5,5,4.5,3,3,3.332674572
45,411993905725d9d5fbaaabe618e00fdb,4,4,4,4,4,4,4,3.069444444
46,44c7f5d8df325a8dfa1140bbd5825d89,4.5,3,2.5,6,5,3,4,3.897916667
47,4889e49b9f9ee173d10403b1bbcdf807,7,5,6,6.5,5.5,1,1,4.044817927
48,48a52207c776c04f3419db9ab6a2cbd1,5.5,4,5.5,3.5,3,4,4,4.25
49,497b39a8683a53512c8def4efa0caf5a,4.5,2,4.5,4.5,1.5,2,3,3.89516129
50,4aadc0f625ebef188e119b684acc4121,5.5,2,6,5.5,2.5,2,2,3.272519084
51,4ab184db3a2e22e10e564267ae0ad070,6.5,3.5,3.5,6,2,2,2,3.545454545
52,4bac3a1b102aa762bb7e0e6dba956848,6,2.5,4,3.5,4,4,5,3.512048193
53,4cbbc1e9c34181307b0897224c4a4cb7,5.5,2.5,3.5,4.5,2,4,4,4.18
54,4d3868d25a632ec1f26b9bd2d9bc5678,6.5,3.5,4,6.5,6,2,2,3.520246479
55,4dfc681ee71ee7021efca4ad7527ccfb,4,6.5,3,2.5,1,4,4,4.976923077
56,4fae0695454a986d8328aadba1534575,7,3,5,6.5,3,4,3,3.26491913
57,511f3a1b4cb8d42dd8b653facbf80d94,5,5,2,2.5,1,1,4,3.842767296
58,56e60808b468eb5f0845616fe2714974,4.5,5,5,5,3,3,4,3.097643098
59,57f9bed9481732511e2bfd6951c899f3,6,5,5,5,4,3,4,4.017857143
60,581318c4039db9284d28dd41480c7d4c,6.5,3.5,5.5,7,4,3,4,4.264957265
61,61629488d492042f593772c3670dacf7,2,5,3.5,7,1,1,1,3.659090909
62,61756dde20d70f14f98d81c835090db0,5.5,3.5,6,4,3,4,3,3.651724138
63,64869e7f7d47d719a4136da707bae9c6,3,6,5.5,5,2.5,4,5,3.870967742
64,64d1e60cade97f3f701aa5348c320a74,6,4.5,3.5,4,3.5,4,4,3.729591837
65,64d5fb86fede175b6909c0f0def52b87,6,3.5,4.5,4,3.5,2,4,3.482539683
66,65d4d19da29991525bee31a46234c2f3,5.5,2,4.5,3,2.5,3,4,3.217090069
67,668b685a92badd50119c373d48f4453c,5.5,3,3.5,5,3,2,3,3.489361702
68,6800289a8389e09f2a18ac5b55fdb36e,6.5,5,5.5,6,5.5,2,3,3.652777778
69,6a93171e29b30995ea424ced0f04a1b7,3.5,4,4,3.5,2,2,4,3.2875
70,6c5d124eddd0219b81c8ac758464e25b,5,4.5,3,3,3,1,1,2.510869565
71,6ccd8023ca32283eec091cfa77e036af,5.5,3.5,4,4.5,3.5,3,3,2.727179487
72,6f99629d420e4c074fc6acf1b8aa8ac9,4,4,5,3.5,3.5,5,5,3.795234249
73,713b498a22f719195bd512025e65cebd,6,5.5,3,3,4,4,4,3.483636364
74,721ea658e148fc0f76ddd6e2b0e02422,6.5,6.5,2.5,6.5,2,2,2,3.597484277
75,729764bd5a8d983cdc3c199a3f8012c4,6.5,6,3.5,5,2,1,4,4.015151515
76,732dece422610d96382b98a602a1cee1,7,5,5.5,5.5,3,4,5,3.863636364
77,7360e5758529f8ddfc3108720bab4492,7,4,3.5,3.5,6.5,1,2,3.758190328
78,7369b7b3b2e65068b3c4f345ecea2720,5.5,3.5,2.5,3.5,3.5,4,5,3.256802721
79,751f30e0cee9120148b411a1df1d6d8c,4,3.5,5.5,5,4.5,4,5,3.437241379
80,76f68219069bfbb18f29d508d394f8a4,5,5,3.5,6,2.5,1,4,3.572402044
81,77a65e513852d16136c1c247e436ea6b,6,5,7,3.5,2,4,5,4.078877005
82,784390ba3a38143fb3aab45c78d62ef5,5,2.5,2,4.5,5,5,5,4
83,78cc5520335b2513824540725dd477f4,4,4,5.5,2.5,2.5,3,4,3.033227848
84,790016d91e25c04925c7b57c179c9e7a,6,5.5,5.5,4.5,3.5,4,4,3.585022026
85,7c5099a1f9ca585f2a043dd5ef0f91b6,4,3.5,4.5,4,2,2,4,3.529036827
86,7eaef0b6792f04e9534c0ff2f922ee89,3,2.5,3,4.5,3,2,3,2.683206107
87,7edf37cec4214d2b0a6e1d660794a235,6,4,5,4.5,4.5,3,2,4.481818182
88,7f60f800e807c63a865f302b2b76a156,5.5,5,5,5,4,4,5,3.473425458
89,7f9708943d2b76715b1ea4c806eaa0ce,5,4.5,4,5,3,5,5,4.028169014
90,8058c698ea92c2ee2b62641527ebfe35,5,6,2,5.5,1.5,3,4,3.401515152
91,8166a7a2d97e96ff235e46d3d30cd86d,4,4,4,3,2.5,1,2,3.820069204
92,824a2867b48467d025906445b556276f,5,4.5,5.5,5,6,3,3,3.283257919
93,8436855dd63552fa29089a61ad914159,4.5,1.5,2.5,4,3,3,2,2.728395062
94,88f3b47a49ba404151bb30ef6f4aae09,4.5,6.5,4,6,3,3,4,3.717948718
95,89df96f4a4229eef53c1775438665fc2,6,3.5,4.5,4,6,2,2,4.245901639
96,8a158114993df620986ab251fcb971a8,6.5,2.5,1.5,3.5,2.5,5,5,3.111504425
97,8bc867ddbf4b9a1f55cfcc8dfd7e686e,4,5,4,3,3.5,2,2,2.884110787
